NCESSCH,TEACHERS
10000200277,0.0
10000201667,0.0
10000201670,0.0
10000201705,0.0
10000201706,0.0
10000201876,0.0
10000500870,34.0
10000500871,73.0
10000500879,35.0
10000500889,48.5
10000501616,31.0
10000502150,63.5
10000600193,19.13
10000600872,28.79
10000600876,6.1
10000600877,23.35
10000600878,31.75
10000600880,12.0
10000600883,24.02
10000600887,12.65
10000600986,0.0
10000600987,2.0
10000601413,27.47
10000601434,11.5
10000601585,21.34
10000601685,25.52
10000601812,24.23
10000602209,26.37
10000700091,40.6
10000700248,36.5
10000700251,194.6
10000700337,74.1
10000700342,38.5
10000701422,54.0
10000701456,113.25
10000701483,55.3
10000701738,42.4
10000701739,33.4
10000701740,40.0
10000701741,56.5
10000701742,46.0
10000701743,24.6
10000702091,42.0
10000702186,50.9
10000702359,0.0
10000800303,33.15
10000800495,42.0
10000800831,94.84
10000800839,30.15
10000800851,24.65
10000801423,45.0
10000801485,45.65
10000801798,45.33
10000802097,45.83
10000802133,59.3
10000802198,97.0
10000901403,0.0
10000901404,0.0
10000901405,0.0
10000901406,0.0
10001102094,18.0
10001102095,19.0
10001102096,5.0
10001102430,30.0
10001200123,27.46
10001200874,39.62
10001200884,21.0
10001201630,15.5
10001201781,26.0
10001300714,56.0
10001301498,59.0
10001301682,84.47
10001302401,25.0
10001302402,29.0
10001502118,0.0
10001502121,0.0
10001502126,0.0
10001502131,0.0
10001802104,0.0
10001901830,0.0
10002001831,0.0
10003000001,25.5
10003000003,56.0
10003000004,52.0
10003000005,28.0
10003000006,24.0
10003302125,0.0
10003302130,0.0
10003801849,0.0
10004001851,0.0
10004101852,0.0
10004401855,0.0
10006000007,29.47
10006000008,14.96
10006001467,52.55
10009000011,41.0
10009000017,17.0
10009000020,16.5
10009000021,20.0
10009001246,0.0
10009001725,20.0
10009001782,11.0
10010000022,31.22
10010000025,42.0
10010000027,36.39
10010000028,50.6
10012000522,27.5
10012001471,21.0
10012001472,57.0
10012001473,31.5
10012001474,19.0
10012001475,21.5
10012001758,20.0
10012002417,11.0
10017502112,
10017602108,0.0
10017602109,0.0
10017602110,
10017602111,0.0
10017802113,0.0
10017902107,0.0
10018000033,42.92
10018000034,19.5
10018000035,31.5
10018102116,0.0
10018302114,0.0
10018402115,0.0
10018500893,43.91
10018500952,38.34
10018502137,55.75
10018502427,25.0
10018802193,23.0
10018802194,12.97
10018802428,11.03
10018902195,37.85
10018902196,33.0
10019001182,49.0
10019001183,115.3
10019001184,56.0
10019001460,57.51
10019001815,59.51
10019002149,23.98
10019002216,0.0
10019402395,34.0
10019402396,43.0
10019402398,37.0
10019402399,60.0
10019502407,46.0
10019502424,15.0
10019702432,
10021000036,109.5
10021000037,74.5
10021000039,34.0
10021000040,27.0
10021000041,65.0
10021000042,25.0
10021000053,31.0
10021001254,29.0
10021001259,26.0
10021001879,32.0
10021002363,25.0
10024000045,41.0
10024000046,31.0
10024000047,30.5
10024000048,98.0
10024000049,52.5
10024000050,26.5
10024000051,40.0
10024000543,53.0
10024000546,58.0
10024000587,5.0
10024000590,16.0
10024001408,24.0
10024001550,0.0
10024001639,24.0
10024002159,25.5
10027000012,20.14
10027000013,31.0
10027000023,23.68
10027000024,78.0
10027000056,27.6
10027000057,32.37
10027000058,20.55
10027000059,36.0
10027000060,39.84
10027000062,27.68
10027000065,18.1
10027000066,21.85
10027000067,37.3
10027000068,9.9
10027000069,30.89
10027000070,17.83
10027000100,86.84
10027000162,36.5
10027000549,26.03
10027000550,52.4
10027000625,27.6
10027000641,49.06
10027000648,40.03
10027000660,36.65
10027000664,8.5
10027000665,10.0
10027001477,53.13
10027001708,35.6
10027001709,41.8
10027001710,40.1
10027001711,61.8
10027001712,76.3
10027001713,22.36
10027001714,25.3
10027001715,30.76
10027001716,61.35
10027001759,68.33
10027001783,13.0
10027001784,103.93
10027001810,62.95
10027001859,25.45
10027001888,44.94
10027002072,57.0
10027002073,61.89
10027002180,0.0
10030000074,22.0
10030001478,15.0
10030001641,13.0
10033000082,17.5
10033000084,16.27
10033000086,42.0
10033000087,40.0
10033000088,37.0
10033000090,18.0
10033001264,0.0
10033001267,7.0
10033001479,21.0
10036000092,29.0
10036000094,23.0
10036000095,40.0
10036000096,11.0
10036000098,16.0
10036000099,28.25
10036000669,0.0
10036001426,23.25
10036001480,19.0
10039000073,0.0
10039000079,0.0
10039000103,31.0
10039000106,20.0
10039000107,24.0
10039000108,17.0
10039000112,30.0
10039000113,32.0
10039000119,25.5
10039000127,21.5
10039000133,12.0
10039000136,28.0
10039000139,37.0
10039000140,15.0
10039000141,70.0
10039000142,23.0
10039000156,23.0
10039000164,50.5
10039000165,45.0
10039000174,14.5
10039000175,17.0
10039000176,45.0
10039000179,24.0
10039000184,21.0
10039000187,29.0
10039000190,29.0
10039000191,15.0
10039000192,47.0
10039000196,15.5
10039000198,43.0
10039000201,23.0
10039000530,0.0
10039001270,0.0
10039001288,
10039001296,0.0
10039001421,33.0
10039001446,29.0
10039001468,45.5
10039001484,40.0
10039001629,0.0
10039001649,16.0
10039001761,0.0
10039001762,35.0
10039001764,0.0
10039001765,0.0
10039001823,14.5
10039001878,37.0
10039002185,42.0
10039002187,34.0
10039002204,26.0
10039002206,41.0
10039002354,30.0
10039002420,19.0
10042000101,18.75
10042000203,34.83
10042000205,37.39
10042000206,22.04
10042000207,33.5
10042000208,48.33
10042000209,31.58
10042000210,28.07
10042000211,42.87
10042000213,31.77
10042000670,0.0
10042000676,0.0
10042000682,0.0
10042001427,29.84
10042001476,28.18
10042001481,36.35
10042001870,24.0
10045000214,28.0
10045000215,21.32
10045000216,21.52
10048000218,29.0
10048000221,20.0
10048000222,37.0
10048000688,0.0
10051000226,35.09
10051000228,32.34
10051000229,23.5
10051000231,35.33
10051000690,0.0
10051001482,17.33
10051002144,24.0
10054000232,61.07
10054000240,26.93
10054000242,30.0
10054000243,23.5
10054000244,20.0
10054000246,39.0
10054000247,30.0
10054000249,38.0
10054000250,26.0
10054000700,0.0
10054000708,0.0
10054001428,27.0
10054001429,31.0
10054001430,31.0
10054001488,27.5
10054001489,36.0
10054001747,47.0
10054001884,24.0
10060000256,18.0
10060000257,25.0
10060000259,11.0
10060000260,24.5
10060000263,20.25
10060000264,15.0
10060000268,17.0
10060000269,11.0
10060000271,44.5
10060000272,32.75
10060000738,0.0
10063000274,39.0
10063000275,39.7
10063000276,23.36
10063000278,28.09
10063000279,22.82
10063000282,52.17
10063000283,31.36
10063000741,0.0
10066000261,36.67
10066000262,46.25
10066000265,26.26
10066000270,40.6
10066000286,56.1
10066000287,34.35
10066000288,35.5
10066000745,26.73
10066000748,2.0
10066001431,37.57
10066001491,43.58
10066001657,55.0
10066002190,0.0
10069000182,19.5
10069000291,22.0
10069000297,20.5
10069001561,25.5
10072000298,22.0
10072000302,22.5
10072000304,20.5
10072000305,27.0
10072000306,15.5
10072001450,21.0
10072001493,32.5
10075000307,29.5
10075000312,30.36
10075002205,16.0
10075002210,37.5
10078000317,23.21
10078000318,37.83
10078000319,16.0
10078000320,15.5
10078000321,28.97
10078000768,0.0
10078001671,13.99
10078001726,22.5
10078002361,0.0
10081000323,31.4
10081000327,44.9
10081001494,20.14
10081001748,19.46
10084000331,21.4
10084000333,18.5
10084000334,27.5
10084000335,26.0
10084000336,18.3
10084000338,25.1
10084000341,9.1
10084001658,24.1
10087000344,11.2
10087000345,21.0
10087000347,9.53
10087000348,8.2
10087000350,9.03
10087001766,14.54
10087002360,0.0
10090000798,5.0
10090001749,13.73
10090002074,23.84
10090002075,13.43
10093000280,38.17
10093000359,12.0
10093000360,13.5
10093000361,34.0
10093000362,19.04
10093000363,24.08
10093000364,18.5
10093001672,15.75
10093002167,22.46
10096000365,34.15
10096000367,49.65
10096000368,47.7
10096000801,0.0
10099000326,32.35
10099000369,28.2
10099000370,55.2
10099000371,31.65
10099000372,40.1
10099001323,
10099002089,0.0
10102000373,20.1
10102000374,16.5
10102000375,30.6
10102000377,31.22
10102000379,23.27
10102000380,20.27
10102000381,17.15
10102000385,18.17
10102000386,11.0
10102000387,31.55
10102000396,37.5
10102000400,14.48
10102000403,19.6
10102000413,15.23
10102000414,33.65
10102000420,16.43
10102000440,24.0
10102000446,28.2
10102000453,14.33
10102000458,31.32
10102000459,19.45
10102000803,4.0
10102001444,23.2
10102001497,8.5
10102001567,0.0
10102001676,14.25
10102001679,11.68
10102002132,13.85
10105000281,27.32
10105000388,38.25
10105000389,25.12
10105000390,21.93
10105000391,22.0
10105000392,15.0
10105000393,20.55
10105002426,0.0
10108000394,32.0
10108001767,32.0
10111000395,14.0
10111000397,30.04
10111000401,8.0
10111000402,21.46
10111000404,13.0
10111000406,26.92
10111000407,16.0
10111000408,12.33
10111000409,26.0
10111000814,13.5
10111000818,0.25
10111001785,14.0
10114000411,56.0
10114000412,41.5
10114000415,61.0
10114000416,70.5
10114000418,18.0
10114000419,49.5
10114000421,8.0
10114000422,70.0
10114000423,13.0
10114000424,57.0
10114000425,36.0
10114000819,0.0
10114000830,0.0
10114000832,1.0
10114001860,33.5
10114002357,42.5
10117000081,44.0
10117000426,89.25
10117000427,25.84
10117000428,27.0
10117000429,65.5
10117000430,17.16
10117000431,19.6
10117000432,32.5
10117000433,37.0
10117000434,30.34
10117000435,18.33
10117000436,18.83
10117000437,17.4
10117000438,21.33
10117001615,23.33
10117001631,0.0
10117001728,25.34
10117001786,31.0
10117002090,0.0
10117002175,0.0
10120000148,39.75
10120000439,31.0
10120000441,29.0
10120000442,32.0
10123000443,25.0
10123000444,18.0
10123000445,65.15
10123000447,26.0
10123000448,14.0
10123000449,23.0
10123000450,19.0
10123000452,22.0
10123000454,26.5
10123000456,15.0
10123001331,0.0
10123001349,0.0
10123001447,32.0
10123001448,29.5
10123001449,20.0
10123001499,22.0
10123001500,30.0
10123001501,68.85
10123001817,17.0
10123001873,0.0
10126000460,20.0
10126000461,18.5
10126001354,0.0
10129000102,40.0
10129000463,25.0
10129000465,24.0
10129000468,54.0
10129000470,55.0
10129000471,58.0
10129000833,56.0
10129000834,10.0
10129001432,23.5
10129001451,26.5
10129001660,53.0
10129001768,34.02
10129001769,39.0
10129002142,44.0
10129002147,34.0
10132000474,23.25
10132000475,29.0
10132000476,122.75
10132000478,36.0
10132000479,34.0
10132000480,25.0
10132000481,27.0
10132001719,21.0
10132001867,33.0
10135000482,16.0
10135000484,26.83
10135000485,24.17
10135000487,25.2
10135000488,18.0
10135000489,16.02
10135000492,25.1
10135000840,0.0
10135000841,0.0
10135001409,0.0
10135001504,21.38
10135001505,35.29
10135001506,22.51
10135001661,23.0
10138000493,23.25
10138000494,12.35
10138000496,35.51
10138000497,24.35
10138000498,20.07
10138000499,37.33
10138000500,15.68
10138000501,14.25
10138000502,43.25
10138000503,12.25
10138000505,27.6
10138000506,43.53
10138000507,24.17
10138000508,26.5
10138000509,19.25
10138000845,0.0
10138000849,0.0
10138000853,0.0
10138001507,16.58
10138001508,35.35
10138001509,32.35
10138001662,24.18
10138002351,21.08
10141000511,48.5
10141000513,31.5
10141000514,41.0
10141001510,30.0
10141001874,0.0
10144000515,19.0
10144000516,33.31
10144000518,17.0
10144000519,15.0
10144001361,0.0
10144001363,8.69
10147000521,16.4
10147000523,23.64
10147000525,24.14
10147001512,17.0
